id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
594896459738671127,Serviced apartment in Seattle · ★4.70 · 2 bedrooms · 3 beds · 1 bath,452014951,Level Seattle,Cascade,South Lake Union,47.62063217163086,-122.33609008789062,Entire home/apt,568,2,79,2023-06-17,8.84,26,333,79,Exempt
18672990,Loft in Seattle · ★4.88 · Studio · 2 beds · 1 bath,1838818,Kia,Downtown,Pioneer Square,47.60077,-122.33095,Entire home/apt,169,2,216,2023-06-05,2.90,6,119,39,STR-OPLI-19-003091
54243179,Home in Seattle · ★4.69 · 1 bedroom · 2 beds · 1 bath,104834083,Vacasa Washington,Downtown,Pike-Market,47.60914,-122.33957,Entire home/apt,146,6,16,2023-04-15,1.05,52,322,13,STR-OPLI-22-000010
43702358,Rental unit in Seattle · ★4.82 · Studio · 1 bed · 1 bath,20493911,Kevin,Downtown,Belltown,47.61266,-122.34624,Entire home/apt,191,2,333,2023-06-24,9.11,4,172,118,STR-OPLI-20-001095
51895459,Townhouse in Seattle · ★4.90 · 2 bedrooms · 3 beds · 2 baths,18223187,Chuang,Central Area,Minor,47.6037,-122.31157,Entire home/apt,270,2,136,2023-06-18,6.13,1,152,76,STR-OPLI-21-000757
33941434,Condo in Seattle · ★4.77 · 2 bedrooms · 3 beds · 2 baths,138924514,Vacasa Washington,Downtown,Belltown,47.6144,-122.34702,Entire home/apt,181,30,40,2022-06-13,0.84,13,364,0,STR-OPLI-19-003332
20497066,Rental unit in Seattle · ★4.93 · 2 bedrooms · 2 beds · 1 bath,117677707,David,Downtown,Central Business District,47.60626,-122.34187,Entire home/apt,162,1,562,2023-06-17,7.95,1,116,119,STR-OPLI-19-002281
34924092,Home in Seattle · ★4.75 · 5 bedrooms · 5 beds · 3 baths,67763902,Bruce,Capitol Hill,Stevens,47.62893,-122.30971,Entire home/apt,374,3,68,2023-06-04,1.44,1,60,21,STR-OPLI-19-002703
53149013,Condo in Seattle · ★4.82 · 2 bedrooms · 4 beds · 2 baths,80333752,Ashley & Mike,Downtown,Belltown,47.61588,-122.34731,Entire home/apt,270,2,61,2023-06-05,3.40,27,89,34,STR-OPLI-19-001535
53171164,Condo in Seattle · ★4.90 · 1 bedroom · 2 beds · 1 bath,80333752,Ashley & Mike,Downtown,Belltown,47.61518,-122.34657,Entire home/apt,196,2,70,2023-06-14,3.99,27,117,42,STR-OPLI-19-001600
52658221,Townhouse in Seattle · 4 bedrooms · 5 beds · 4 baths,114731080,Jerald,Capitol Hill,Broadway,47.62476,-122.31746,Entire home/apt,928,7,1,2022-08-15,0.10,2,143,1,STR-OPLI-21-000751
826388980943250785,Home in Seattle · ★4.96 · 2 bedrooms · 3 beds · 2 baths,443152662,Renee,Central Area,Minor,47.60971415958657,-122.30925569688517,Entire home/apt,343,1,23,2023-06-18,5.43,1,147,23,STR-OPLI-21-001290
53673580,Townhouse in Seattle · ★4.97 · 2 bedrooms · 2 beds · 2 baths,25110157,Eva And Sid,Central Area,Minor,47.610527,-122.310715,Entire home/apt,331,2,78,2023-06-10,4.23,24,69,46,STR-OPLI-21-000026
654734,Condo in Seattle · ★4.58 · 1 bedroom · 3 beds · 1 bath,3294357,Grace,Downtown,First Hill,47.61311,-122.32947,Entire home/apt,168,30,85,2022-10-29,0.65,3,326,2,
36770186,Condo in Seattle · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,276367369,Chia-Yu,Cascade,South Lake Union,47.61864,-122.34585,Entire home/apt,164,2,169,2023-06-08,3.58,1,99,52,STR-OPLI-19-000679
868960031210515615,Rental unit in Seattle · ★4.82 · 1 bedroom · 1 bed · 1 bath,505423742,James AND Jeffry,Downtown,Yesler Terrace,47.60596302344581,-122.32157087247795,Entire home/apt,177,1,22,2023-06-19,9.71,17,336,22,Exempt
50808131,Rental unit in Seattle · ★4.21 · Studio · 1 bed · 1 bath,152734194,Ella,Central Area,Atlantic,47.60149,-122.31455,Entire home/apt,150,1,141,2023-06-04,5.92,7,230,68,STR-OPLI-21-000580
27960420,Condo in Seattle · ★4.92 · 2 bedrooms · 1 bed · 1 bath,38382317,David,Downtown,Belltown,47.61542,-122.33843,Entire home/apt,148,30,84,2022-04-25,1.44,1,39,0,STR-OPLI-19-003204
20176915,Rental unit in Seattle · ★4.65 · 2 bedrooms · 3 beds · 1 bath,57590612,Tulika,Downtown,First Hill,47.61273,-122.32893,Entire home/apt,224,3,105,2023-06-14,1.49,1,68,23,STR-OPLI-19-000016
832633844184119192,Rental unit in Seattle · ★5.0 · 2 bedrooms · 2 beds · 2 baths,502324894,Oasis Stays,Downtown,Belltown,47.61531413757708,-122.34899619279346,Entire home/apt,334,1,25,2023-06-10,6.64,1,95,25,STR-OPLI-22-001642
19786043,Condo in Seattle · ★4.72 · 2 bedrooms · 4 beds · 2 baths,138924514,Vacasa Washington,Downtown,Central Business District,47.60812,-122.338,Entire home/apt,284,6,46,2023-05-29,0.70,13,337,13,STR-OPLI-20-000007
693314464035815867,Rental unit in Seattle · ★4.67 · 1 bedroom · 1 bed · 2 baths,123827170,Natasha,Downtown,Central Business District,47.60813,-122.33746,Entire home/apt,949,6,12,2023-01-11,1.27,1,179,12,STR-OPLI-22-001389
13332139,Rental unit in Seattle · ★4.94 · 3 bedrooms · 4 beds · 2 baths,658155,Joe,Central Area,Minor,47.61091,-122.31323,Entire home/apt,250,30,197,2022-08-24,2.31,5,192,1,
898859568347307310,Rental unit in Seattle · ★New · 2 bedrooms · 3 beds · 1 bath,511277239,Leticia,Central Area,Minor,47.60397095796663,-122.31276003065969,Entire home/apt,204,1,0,,,2,166,0,STR-OPLI-23-000643
615074769937780848,Rental unit in Seattle · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,Downtown,Central Business District,47.610598,-122.3398258,Entire home/apt,142,31,0,,,398,313,0,
879300228819544616,Serviced apartment in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,511933152,Zeus Seattle,Cascade,South Lake Union,47.61982901968497,-122.33718919332101,Entire home/apt,212,30,2,2021-03-31,0.05,67,162,0,
53963912,Rental unit in Seattle · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,Downtown,Central Business District,47.610598,-122.3398258,Entire home/apt,208,31,1,2023-04-24,0.48,398,328,1,
879899721627343274,Serviced apartment in Seattle · ★New · Studio · 1 bath,511933152,Zeus Seattle,Downtown,Pike-Market,47.61193191390195,-122.34299355537807,Entire home/apt,157,30,2,2022-08-27,0.12,67,148,1,
879920620569374086,Serviced apartment in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,511933152,Zeus Seattle,Cascade,South Lake Union,47.619690479584136,-122.33826322778364,Entire home/apt,205,30,1,2019-11-09,0.02,67,297,0,
